1,bayern,1,arsenal,1,1.41,4.79,5.48,1.09,1.13,2.44,1.21,3.08,1.33,2.55
2,guangzhou,4,evergrande,2,2.81,3.5,2.19,1.54,1.24,1.33,1.42,2.25,1.36,2.47
3,liverpool,2,crystal palace,0,1.56,4.04,4.78,1.12,1.18,2.12,1.45,2.17,1.5,2.09
4,schalke 04,3,besiktas,2,1.85,3.55,3.57,1.21,1.23,1.75,1.59,1.93,1.52,2.07
5,medellin,1,huila,1,1.33,4.53,7.89,1.03,1.14,2.71,1.69,1.78,2,1.57
6,santa fe,2,envigado,0,1.41,3.94,7.34,1.04,1.18,2.44,2.1,1.48,2.37,1.41
7,cali,1,once caldas,2,1.61,3.55,5.07,1.1,1.22,2.02,1.87,1.64,1.85,1.67
8,Santos ,1,chapecoense,0,1.62,3.55,4.97,1.11,1.22,2.01,1.82,1.67,1.8,1.71
9,avai,0,corinthians,0,4.51,3.24,1.76,1.84,1.27,1.14,2.17,1.45,2.04,1.56
10,vitoria,1,gremio,3,3.26,3.18,2.09,1.58,1.28,1.25,1.87,1.64,1.68,1.84
11,la equidad,2,jaguares,1,1.7,3.22,4.95,1.11,1.27,1.9,2.3,1.4,2.18,1.48
12,atletico mg,0,bahia,2,1.58,3.68,5.15,1.1,1.21,2.07,1.77,1.71,1.79,1.72
13,inglaterra,6,escocia,0,1.22,5.26,11.08,0,1.1,3.29,1.65,1.83,2.23,1.44
14,estados unidos,2,el salvador,0,1.2,5.7,2.93,0,1.08,3.43,1.46,2.13,1.94,1.59
15,costa rica,1,panama,0,2.33,2.79,3.22,1.25,1.35,1.47,2.61,1.3,2.18,1.49
16,roma,1,psg,1,3.17,3.55,1.99,1.65,1.23,1.26,1.43,2.23,1.38,2.4
17,ponte petra,4,coritiba,0,1.82,3.23,4.16,1.16,1.27,1.78,2.05,1.51,1.89,1.64
18,flamnego,2,palmeiras,2,1.7,3.43,4.57,1.13,1.24,1.91,1.89,1.61,1.83,1.69
19,sao paulo,1,vasco,0,1.51,3.83,5.69,1.08,1.19,2.21,1.77,1.71,1.85,1.67
