1,Millonarios,1,Rionegro,1,1.36,4.27,7.81,1.03,1.16,2.61,1.84,1.65,2.12,1.5,25.35
2,america,4,la equidad,2,1.43,3.86,7.06,1.04,1.18,2.38,2.1,1.48,2.32,1.41,24.26
3,nacional,2,tolima,0,1.29,4.64,9.43,1.01,1.13,2.9,1.82,1.67,2.28,1.43,27.6
4,jaguares,3,pasto,2,2.11,3.05,3.35,1.23,1.3,1.58,2.23,1.43,1.96,1.61,19.85
5,real madrid,1,manchester united,1,2.18,3.38,2.9,1.31,1.25,1.54,1.56,1.96,1.46,2.18,19.72
6,avai,2,cruzeiro,0,3.79,3.13,1.94,1.69,1.29,1.18,2.14,1.46,1.93,1.62,20.17
7,fluminense,1,corinthians,2,2.68,3.03,2.52,1.4,1.31,1.36,2.01,1.53,1.76,1.76,19.36
8,atletico go,1,botafogo,2,2.44,2.93,2.86,1.32,1.32,1.43,2.24,1.43,1.92,1.63,19.52
9,sport recife,1,palmeiras,2,2.05,3.21,3.32,1.24,1.27,1.6,1.82,1.67,1.68,1.86,19.72
11,atletico mg,1,vasco,2,1.66,3.62,4.48,1.14,1.22,1.95,1.69,1.78,1.67,1.85,21.06
12,atletico paranaense,0,ponte petra,2,2.02,3.06,3.58,1.2,1.3,1.62,2.11,1.47,1.88,1.65,19.89
13,mexico jamaica,1,jamaica,2,1.47,3.65,6.83,1.05,1.21,2.28,2.2,1.43,2.36,1.41,23.89
